"Nome Urna			Partido"
"PETRA MAGALHÃES			PCO"
"PH PAULO HENRIQUE			PTC"
"PIRIGOSO			SOLIDARIEDADE"
"POLICARPO			PT"
"POLICIAL FEDERAL HONORATO			PRP"
"POLICIAL FEDERAL SANTIAGO			PTC"
"PR. ALESSANDRO MARTINS			PROS"
"PR. CÉLIO SANTANA			AVANTE"
"PROF ADEMILSOM			PMN"
"PROF. ÂNGELO ZANOLLY			PHS"
"PROF AUGUSTO FREIRE			PSL"
"PROF. DIEGO MATOS DA FERCAL			AVANTE"
"PROFESSOR AARON			PPS"
"PROFESSORA CLÁUDIA COSTA			PP"
"PROFESSORA DEUSINHA			PT"
"PROFESSOR ADIMÁRIO TEODORO			PRB"
"PROFESSORA ELICEUDA			PT"
"PROFESSORA ETEL			PSB"
"PROFESSORA FRANCIS			PSB"
"PROFESSORA GLEIDE			PHS"
"PROFESSORA GODOI			PROS"
"PROFESSORA HELCIMAR			PSDB"
"PROFESSOR AILTON			PSC"
"PROFESSORA JACIRA			PTB"
"PROFESSORA LUCIA			PSL"
"PROFESSORA MARIA ANTÔNIA			SOLIDARIEDADE"
"PROFESSORA SIHAMI			PTB"
"PROFESSORA WALDETE			PATRI"
"PROFESSOR CARLOS ARRUDA			PODE"
"PROFESSOR CELSO			PSB"
"PROFESSOR DANIEL ARAÚJO			PP"
"PROFESSOR DANIEL CREPALDI			PRB"
"PROFESSOR DAVI MOREIRA			PROS"
"PROFESSOR EDGARD			PSC"
"PROFESSOR EDUARDO REZENDE			PP"
"PROFESSOR ELIAS			PC do B"
"PROFESSOR ELUÍDES AGAPITO			PP"
"PROFESSOR FABIO LETICIO			PP"
"PROFESSOR FÁBIO SOUSA			PDT"
"PROFESSOR FRANCELINO			PV"
"PROFESSOR GLAUCO			PT"
"PROFESSOR HÉRCULES			PP"
"PROFESSOR HERCULES  CEZAR			PTB"
"PROFESSOR INALDO CONCURSEIRO			PRP"
"PROFESSOR IVAN MORAES			DC"
"PROFESSOR JORDENES			PTB"
"PROFESSOR JUQUINHA			PRB"
"PROFESSOR LEONARDO MIRANDA			PATRI"
"PROFESSOR MANOEL MORAIS			PPS"
"PROFESSOR NIVALDO			AVANTE"
"PROFESSOR ORLANDO JÚNIOR			PP"
"PROFESSOR PEDRON			SOLIDARIEDADE"
"PROFESSOR RAUL			PRP"
"PROFESSOR REGINALDO VERAS			PDT"
"PROFESSOR ROBERT			DC"
"PROFESSOR ROBINSON PAIS			PSDB"
"PROFESSOR RODRIGÃO			PATRI"
"PROFESSOR VASCO			PT"
"PROFESSOR VICENTE			PT"
"PROFESSOR VIRGILIO GALVAO			PTB"
"PROFESSOR WALTER			PATRI"
"PROF. FELIPE LEITAO			PROS"
"PROF. FORLAND			PHS"
"PROF. IRAN LIMA			AVANTE"
"PROF. LÚCIO ROGÉRIO			PRB"
"PROF. MARCOS FARIA			REDE"
"PROF.MARIANO			PODE"
"PROF. ROBERT MARQUES			PHS"
"PROF. SEVERINO CAJAZEIRAS			AVANTE"
"PROFª REGINA			MDB"
"PR RONON PINHEIRO			PHS"
"PSICÓLOGA DOLORES FERREIRA			MDB"
"RAAD JR.			PSDB"
"RACIB ELIAS TICLY			PMN"
"RAFAEL MOREIRA			AVANTE"
